JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=46f371f55b95340e&amp;fccid=8b410c05968fdf6d&amp;vjs=3"" id=""jl_46f371f55b95340e"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[10],true,0);"" onmousedown=""return rclk(this,jobmap[10],0);"" rel=""noopener nofollow"" target=""_blank"" title=""WordPress Web Developer"">
WordPress <b>Web</b> <b>Developer</b></a>",BlueMagnet,"Johannesburg, Gauteng",30+ days ago,2020-11-10,"Creation of wireframes in line with UX best practice guidelines as part of a web development specification, or stand-alone landing pages. Must be a team player.",,https://www.indeed.co.za/rc/clk?jk=46f371f55b95340e&fccid=8b410c05968fdf6d&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/company/PrepaidMeters.co.za/jobs/Joomla-Web-Developer-688c5a967ed4ac80?fccid=bd509e7933540543&amp;vjs=3"" id=""jl_688c5a967ed4ac80"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[11],true,0);"" onmousedown=""return rclk(this,jobmap[11],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Joomla Web Developer"">
Joomla <b>Web</b> <b>Developer</b></a>",PrepaidMeters.co.za,"Northcliff, Gauteng",30+ days ago,2020-11-10,The focus on developers is growth and development. These are the skills that the developer will be required already know and will be working with on a daily…,,https://www.indeed.co.za/company/PrepaidMeters.co.za/jobs/Joomla-Web-Developer-688c5a967ed4ac80?fccid=bd509e7933540543&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=ac7273565f8cd9c8&amp;fccid=cbb2b0ca1f03a69c&amp;vjs=3"" id=""jl_ac7273565f8cd9c8"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[12],true,0);"" onmousedown=""return rclk(this,jobmap[12],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Software Developer( Client Based)"">
Software <b>Developer</b>( Client Based)</a>",Nambiti Technologies,"Midrand, Gauteng",Just posted,2020-11-10,We are recruiting for a Software Developer with an ICT degree or equivalent in Computer Science or Engineering or Informatics qualification at NQF7 or higher.,,https://www.indeed.co.za/rc/clk?jk=ac7273565f8cd9c8&fccid=cbb2b0ca1f03a69c&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/company/The-Change-Lab/jobs/Csharp-Developer-7025a9d37bd1661e?fccid=e21eabc108c7e2d4&amp;vjs=3"" id=""jl_7025a9d37bd1661e"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[13],true,0);"" onmousedown=""return rclk(this,jobmap[13],0);"" rel=""noopener nofollow"" target=""_blank"" title=""C# Developer"">
C# <b>Developer</b></a>",The Change Lab,"Johannesburg, Gauteng",1 day ago,2020-11-10,"As a member of our team, the primary focus of your role is on enterprise level line of business. Who’ll you report to: WCF, EF6, MVC4/5 and WebAPI.",,https://www.indeed.co.za/company/The-Change-Lab/jobs/Csharp-Developer-7025a9d37bd1661e?fccid=e21eabc108c7e2d4&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=fecbecbce5276c1b&amp;fccid=214c752603950228&amp;vjs=3"" id=""jl_fecbecbce5276c1b"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[14],true,0);"" onmousedown=""return rclk(this,jobmap[14],0);"" rel=""noopener nofollow"" target=""_blank"" title=""React Web Developer"">
React <b>Web</b> <b>Developer</b></a>",Cartrack,"Johannesburg, Gauteng 2196",30+ days ago,2020-11-10,We are looking for a great JavaScript developer who is proficient with React.js. Optimizing components for maximum performance across a vast array of web…,,https://www.indeed.co.za/rc/clk?jk=fecbecbce5276c1b&fccid=214c752603950228&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/company/The-Change-Lab/jobs/Csharp-Developer-7025a9d37bd1661e?fccid=e21eabc108c7e2d4&amp;vjs=3"" id=""jl_7025a9d37bd1661e"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[0],true,0);"" onmousedown=""return rclk(this,jobmap[0],0);"" rel=""noopener nofollow"" target=""_blank"" title=""C# Developer"">
C# <b>Developer</b></a>",The Change Lab,"Johannesburg, Gauteng",1 day ago,2020-11-10,"As a member of our team, the primary focus of your role is on enterprise level line of business. Who’ll you report to: WCF, EF6, MVC4/5 and WebAPI.",,https://www.indeed.co.za/company/The-Change-Lab/jobs/Csharp-Developer-7025a9d37bd1661e?fccid=e21eabc108c7e2d4&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=fecbecbce5276c1b&amp;fccid=214c752603950228&amp;vjs=3"" id=""jl_fecbecbce5276c1b"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[1],true,0);"" onmousedown=""return rclk(this,jobmap[1],0);"" rel=""noopener nofollow"" target=""_blank"" title=""React Web Developer"">
React <b>Web</b> <b>Developer</b></a>",Cartrack,"Johannesburg, Gauteng 2196",30+ days ago,2020-11-10,We are looking for a great JavaScript developer who is proficient with React.js. Optimizing components for maximum performance across a vast array of web…,,https://www.indeed.co.za/rc/clk?jk=fecbecbce5276c1b&fccid=214c752603950228&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/company/Vividaret/jobs/Web-Developer-Multimedia-Designer-497291ed5215241b?fccid=7426318e4603e542&amp;vjs=3"" id=""jl_497291ed5215241b"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[2],true,0);"" onmousedown=""return rclk(this,jobmap[2],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Web Developer &amp; Multimedia designer"">
<b>Web</b> <b>Developer</b> &amp; Multimedia designer</a>",Vividaret,"Pretoria, Gauteng",9 days ago,2020-11-10,The ideal candidate must have a deep understanding of both web development as well as a solid understanding of the architecture thereof.,,https://www.indeed.co.za/company/Vividaret/jobs/Web-Developer-Multimedia-Designer-497291ed5215241b?fccid=7426318e4603e542&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/company/Mac-Mobile/jobs/PHP-Developer-c103d7b5d2c4b685?fccid=778847bd1f72f53e&amp;vjs=3"" id=""jl_c103d7b5d2c4b685"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[3],true,1);"" onmousedown=""return rclk(this,jobmap[3],1);"" rel=""noopener nofollow"" target=""_blank"" title=""PHP Developer"">
PHP <b>Developer</b></a>",Mac Mobile,"Centurion, Gauteng",6 days ago,2020-11-10,MAC Mobile is looking for senior PHP developers with experience in web application backend development. Experience with minimum of 5 years in the following:,R20 000 - R35 000 a month,https://www.indeed.co.za/company/Mac-Mobile/jobs/PHP-Developer-c103d7b5d2c4b685?fccid=778847bd1f72f53e&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=a314c504f1ee3905&amp;fccid=152e270b544ecc73&amp;vjs=3"" id=""jl_a314c504f1ee3905"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[4],true,0);"" onmousedown=""return rclk(this,jobmap[4],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Web Developer"">
<b>Web</b> <b>Developer</b></a>",Britehouse,"Bryanston, Gauteng",30+ days ago,2020-11-10,Communicating with external web services. Building and enhancing web based systems for the motor industry. To either replace employee turnover or to cater for…,,https://www.indeed.co.za/rc/clk?jk=a314c504f1ee3905&fccid=152e270b544ecc73&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=53bbb369d8e722ad&amp;fccid=19a311ea4dd95f89&amp;vjs=3"" id=""jl_53bbb369d8e722ad"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[5],true,0);"" onmousedown=""return rclk(this,jobmap[5],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Senior Web Developer"">
Senior <b>Web</b> <b>Developer</b></a>",Switch Telecom,"Bryanston, Gauteng",30+ days ago,2020-11-10,Development of new database-driven web applications and web services. Switch Telecom based in the Bryanston area is looking for a senior PHP Developer.,,https://www.indeed.co.za/rc/clk?jk=53bbb369d8e722ad&fccid=19a311ea4dd95f89&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=36ef36a293c7882a&amp;fccid=3b65d81613de401e&amp;vjs=3"" id=""jl_36ef36a293c7882a"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[6],true,0);"" onmousedown=""return rclk(this,jobmap[6],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Web Developer"">
<b>Web</b> <b>Developer</b></a>",ACDC Dynamics,"Edenvale, Gauteng",30+ days ago,2020-11-10,"Minimum of 5 years web, api and database development experience. Prepare test cases for unit testing purposes and review test cases as produced by other…",,https://www.indeed.co.za/rc/clk?jk=36ef36a293c7882a&fccid=3b65d81613de401e&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/company/MultiTier-IT-Solutions/jobs/Senior-Web-Developer-89758b7b1c370e08?fccid=a5b19c9e1bf44b70&amp;vjs=3"" id=""jl_89758b7b1c370e08"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[7],true,0);"" onmousedown=""return rclk(this,jobmap[7],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Senior web developer - Microsoft technologies - Contract"">
Senior <b>web</b> <b>developer</b> - Microsoft technologies - Contract</a>",MultiTier IT Solutions,"Johannesburg, Gauteng",Today,2020-11-10,Senior web developer - Microsoft technologies - Contract*. The applicant should have extensive knowledge in web technologies to be able to implement web sites.,,https://www.indeed.co.za/company/MultiTier-IT-Solutions/jobs/Senior-Web-Developer-89758b7b1c370e08?fccid=a5b19c9e1bf44b70&vjs=3
"<a class=""jobtitle turnstileLink"" data-tn-element=""jobTitle"" href=""/rc/clk?jk=ec7b8c21977a169d&amp;fccid=3c1e071162dc020d&amp;vjs=3"" id=""jl_ec7b8c21977a169d"" onclick=""setRefineByCookie([]); return rclk(this,jobmap[8],true,0);"" onmousedown=""return rclk(this,jobmap[8],0);"" rel=""noopener nofollow"" target=""_blank"" title=""Web Developer"">
<b>Web</b> <b>Developer</b></a>",BTG Recruit (Pty) Ltd,"Johannesburg, Gauteng",30+ days ago,2020-11-10,High performance interactive web application design and development experience a deciding factor. Leading Software Company is looking for an intermediate Web…,,https://www.indeed.co.za/rc/clk?jk=ec7b8c21977a169d&fccid=3c1e071162dc020d&vjs=3
